Word,Percentage
the,6.587961643656996%
of,3.4362555561280663%
and,3.0582232798479883%
to,2.6199371803944786%
a,2.0467371976399007%
in,1.7354783554176387%
that,1.166063953176575%
i,1.1188493517719147%
is,1.0779440512231107%
he,1.0601728538124477%
it,0.9836200034280534%
was,0.9655333409745978%
for,0.8080111296067097%
as,0.7816172210263761%
his,0.7372418050068509%
with,0.7276726987088016%
be,0.677093136847684%
not,0.6561672890090927%
her,0.5886577698514265%
you,0.5878165297373122%
she,0.5828742440668913%
at,0.5464906091314511%
on,0.5447029738889584%
had,0.535449332633702%
but,0.5276678615781455%
by,0.5266163114355026%
this,0.4848697707725844%
s,0.4533232664933011%
my,0.4312407134978028%
from,0.42692935791296743%
or,0.4071602152312832%
are,0.3869704524925419%
have,0.37382607570950716%
all,0.36446727943998647%
they,0.36310026425455083%
which,0.36257448918322943%
one,0.342700191487281%
said,0.32345682387691815%
him,0.3214588786058969%
so,0.3208279485203112%
when,0.2927515597117491%
we,0.2779247027004859%
me,0.27739892762916457%
an,0.2766628425293146%
were,0.273403037087122%
no,0.2724566419587435%
if,0.24911222879207381%
who,0.24690397349252402%
will,0.23817610730858893%
there,0.23575754198051058%
what,0.2247162654827614%
would,0.22061521992645458%
man,0.2148316941419193%
out,0.20189762738741318%
more,0.20168731735888462%
been,0.20147700733035606%
then,0.2007409222305061%
into,0.20042545718771324%
up,0.19947906205933477%
their,0.19338007123200668%
them,0.1881223205187928%
t,0.17171813829356547%
than,0.1715078282650369%
should,0.16803771279431573%
do,0.16793255778005145%
may,0.16751193772299436%
did,0.1658294574947659%
about,0.16404182225227318%
has,0.1639366672380089%
some,0.1636212021952161%
time,0.16004593171023063%
other,0.1578376764106808%
any,0.1535263208258454%
like,0.15331601079731685%
1,0.1512129105120313%
can,0.1512129105120313%
very,0.14858403515542437%
only,0.13838399877178945%
such,0.136701518543561%
little,0.1347035732725397%
could,0.13407264318695405%
our,0.13091799275902571%
made,0.12755303230256884%
over,0.12660663717419032%
now,0.125344777003019%
your,0.1182993910473124%
0,0.11703753087614108%
its,0.11682722084761252%
after,0.11640660079055538%
great,0.11546020566217689%
thou,0.11367257041968418%
good,0.11325195036262707%
these,0.11020245494896301%
before,0.10851997472073457%
where,0.10683749449250614%
see,0.1065220294497133%
must,0.10557563432133478%
two,0.10526016927854195%
2,0.10378799907884208%
come,0.10315706899325641%
came,0.10168489879355652%
well,0.10073850366517803%
how,0.09989726355106379%
way,0.09779416326577825%
much,0.09758385323724969%
mother,0.09716323318019258%
shall,0.09684776813739975%
know,0.09674261312313548%
per,0.09674261312313548%
day,0.09506013289490703%
work,0.09274672258109291%
upon,0.0919054824669787%
down,0.09169517243845014%
never,0.0909590873386002%
through,0.08969722716742887%
even,0.08885598705331464%
same,0.08875083203905038%
first,0.08833021198199326%
us,0.08790959192493614%
water,0.08780443691067186%
back,0.08727866183935047%
again,0.08685804178229337%
3,0.08601680166817915%
most,0.08559618161112204%
hand,0.0852807165683292%
too,0.08507040653980065%
long,0.08507040653980065%
father,0.08307246126877937%
sewage,0.08265184121172225%
go,0.08223122115466515%
being,0.08128482602628664%
life,0.0810745159977581%
yet,0.08065389594070099%
make,0.08023327588364387%
away,0.08023327588364387%
old,0.07970750081232249%
here,0.07970750081232249%
without,0.0782353306126226%
say,0.07781471055556549%
am,0.07760440052703693%
under,0.07644769537012988%
looked,0.0763425403558656%
face,0.07518583519895855%
just,0.07339819995646582%
mr,0.07192602975676594%
between,0.0716105647139731%
place,0.0716105647139731%
feet,0.07129509967118026%
used,0.07055901457133032%
might,0.07045385955706605%
new,0.07034870454280177%
because,0.07013839451427321%
love,0.06982292947148039%
men,0.06887653434310188%
own,0.0683507592717805%
while,0.06761467417193055%
went,0.06719405411487345%
thy,0.06708889910060917%
young,0.06645796901502349%
4,0.06540641887238072%
against,0.06530126385811644%
himself,0.06530126385811644%
take,0.06519610884385216%
5,0.06509095382958789%
put,0.06467033377253077%
eyes,0.06393424867268084%
many,0.06340847360135944%
every,0.06340847360135944%
head,0.06288269853003806%
right,0.06277754351577378%
those,0.06109506328754534%
woman,0.0607795982447525%
get,0.0607795982447525%
let,0.05993835813063828%
seemed,0.05993835813063828%
think,0.05972804810210972%
though,0.05962289308784545%
found,0.058991963002259784%
things,0.058991963002259784%
another,0.058886807987995504%
saw,0.05825587790240983%
table,0.057730102831088446%
thought,0.056678552688445676%
give,0.05636308764565284%
miss,0.05604762260286001%
m,0.0556270025458029%
6,0.05552184753153861%
heart,0.055101227474481505%
sewer,0.05489091744595295%
something,0.05468060741742439%
8,0.05457545240316012%
off,0.05457545240316012%
people,0.05436514237463156%
also,0.05404967733183873%
tell,0.053944522317574455%
chapter,0.053839367303310175%
house,0.05362905727478162%
nothing,0.05352390226051734%
night,0.05341874724625307%
hath,0.053208437217724516%
turned,0.05268266214640312%
pipe,0.05215688707508173%
still,0.051525956989496066%
lucy,0.051105336932438954%
took,0.05100018191817468%
given,0.05078987188964613%
world,0.05068471687538185%
matter,0.050474406846853295%
fig,0.050474406846853295%
don,0.049948631775531896%
god,0.049843476761267616%
last,0.04973832174700334%
once,0.04963316673273906%
child,0.04963316673273906%
called,0.04952801171847479%
look,0.04931770168994623%
why,0.04931770168994623%
nature,0.048897081632889125%
use,0.04837130656156774%
end,0.04826615154730346%
ann,0.0480558415187749%
each,0.04774037647598207%
side,0.04763522146171779%
oh,0.047530066447453514%
hands,0.0471094463903964%
far,0.0471094463903964%
always,0.04679398134760357%
ever,0.04679398134760357%
less,0.04658367131907501%
words,0.04637336129054646%
asked,0.04637336129054646%
set,0.046268206276282184%
room,0.046057896247753624%
heard,0.046057896247753624%
moment,0.04595274123348935%
until,0.04553212117643224%
small,0.045216656133639406%
done,0.04490119109084657%
name,0.04490119109084657%
home,0.04437541601952519%
both,0.043849640948203795%
thus,0.043849640948203795%
going,0.043849640948203795%
left,0.04353417590541096%
part,0.042377470748503905%
